category_id;category_namę;parent_category_name;is_parent;meta_category_name;source_url;category_description
201;Kinkiety;Baza;1;Kinkiety;/pl/menu/kinkiety-152;"Jeżeli cenisz sobie nowoczesność, niepowtarzalny styl i wysoką jakość, to z pewnością oczarują Cię prezentowane w naszej ofercie kinkiety. Niezależnie od tego, czy szukasz delikatnego źródła światła do sypialni, czy planujesz stworzyć funkcjonalną oprawę do łazienki, pokoju dziecięcego lub salonu, w naszym sklepie znajdziesz odpowiedni model. 
W sprzedaży posiadamy między innymi kinkiety chromowane, czarne czy antracytowe, które doskonale pasują do nowocześnie urządzonych wnętrz, a także tradycyjne lampy ścienne z ceramicznym lub szklanym kloszem. 
Oryginalne kształty i ciekawe kolory sprawiają, że nasze propozycje nie tylko funkcjonalnie rozświetlą pomieszczenie, w którym zagoszczą, ale same również staną się jego ozdobą."
202;Antracyt;Kinkiety;0;Kinkiety-Antracyt;/kinkiety-antracytowe;Kinkiety w kolorze antracytowym dodadzą Twojemu domowi elegancji. Te lampy ścienne są wykonane z wysokiej jakości materiałów i mają piękny antracytowy kolor. Doskonale nadają się do dodania klasy każdemu pomieszczeniu w Twoim domu. Eleganckie i stylowe wzornictwo tych lamp będzie pasować do każdego wystroju. Z pewnością dodadzą wyrafinowania każdej przestrzeni.
203;Biały;Kinkiety;0;Kinkiety-Biały;/kinkiety-biale;Biel to ponadczasowy i uniwersalny kolor. Białe kinkiety mogą nadać wnętrzu eleganckiego charakteru. To jeden z najpopularniejszych typów lamp ściennych, spotykany zarówno w pomieszczeniach urządzonych w stylu klasycznym, jak i nowoczesnym. Biel nigdy nie wychodzi z mody i może być łączona z niemal dowolnymi kolorami, ponieważ nie przytłacza aranżacji.
204;Czarny;Kinkiety;0;Kinkiety-Czarny;/kinkiety-czarne;
205;Chrom;Kinkiety;0;Kinkiety-Chrom;/kinkiety-chromowane;W tej kategorii dostępne są chromowane kinkiety – lampy montowane bezpośrednio na ścianach. Od plafonów różnią się tym, że są subtelne i delikatne. Służą do rozjaśniania przestrzeni i stanowią doskonałe uzupełnienie wnętrza!
206;Szary;Kinkiety;0;Kinkiety-Szary;/kinkiety-szare;Do najpopularniejszych kolorów dominujących w architekturze wnętrz można zaliczyć czarny, biały, złoty, srebrny oraz szary. Szare odcienie są widoczne szczególnie w pomieszczeniach urządzonych w stylu nowoczesnym. Znajdują się w nich często elementy oświetlenia w tych barwach, m.in. kinkiety.
207;Aluminium;Kinkiety;0;Kinkiety-Aluminium;/kinkiety-aluminiowe;Kinkiety aluminiowe są idealne do kuchni, salonu oraz gabinetu. Prosta forma tych lamp ściennych jest ich atutem. Dostępne są w bieli, czerni oraz szarości. Bardzo łatwy i szybki montaż kinkietów ściennych jest ich atutem. Łatwo czyści się je ściereczką. Kinkiety wyposaża się w żarówkę LED, którą można wymienić w kilka sekund. Czyszczenie kinkietów jest łatwe, wystarczy przetrzeć je ściereczką i w ten sposób usunąć z nich kurz. 
208;Beton;Kinkiety;0;Kinkiety-Beton;/kinkiety-betonowe;Kinkiety betonowe zostały zaprojektowane z myślą o surowych stylach wnętrzarskich, takich jak styl industrialny czy styl loftowy. W aranżacjach prostych, minimalistycznych, wypełnionych nieskomplikowanymi bryłami, lampy o równie prostym kształcie prezentują się doskonale i świetnie podkreślają surowy charakter wnętrza. Kinkiety betonowe projektuje się więc najczęściej na wzór walca lub sześcianu, niekiedy dodając tym kształtom nieco bardziej finezyjnej linii. 
209;Ceramika;Kinkiety;0;Kinkiety-Ceramika;/kinkiety-ceramiczne;Kinkiety ceramiczne cechuje elegancja wykonania oraz uniwersalny charakter. Ten element oświetlenia nadaje się do każdego wnętrza — z powodzeniem można go zamontować w łazience, kuchni, salonie lub przedpokoju. Ceramiczna obudowa może delikatnie się błyszczeć lub występować w matowej wersji, co czyni z takiej lampy stylową, klasyczną ozdobę, która sprawdzi się również w pomieszczeniach o nowoczesnym wystroju.
210;Drewno;Kinkiety;0;Kinkiety-Drewno;/kinkiety-drewniane;Choć to główne źródło oświetlenia jest nierzadko kluczowym elementem wystroju pomieszczenia, to oświetlenie dodatkowe stanowi stylową ozdobę aranżacji i umila przebywanie we wnętrzu. Ponadczasowym i modnym rozwiązaniem są np. kinkiety drewniane dodające elegancji i uroku.
211;Stal;Kinkiety;0;Kinkiety-Stal;/kinkiety-stalowe;Kinkiet to idealny wybór do pomieszczeń, w których główne źródło światła jest niewystarczające. Ta kategoria obejmuje kinkiety wykonane ze stali. Wyróżniają się wytrzymałością, szerokim zakresem form, a także doskonałymi walorami estetycznymi. Doświetlają przestrzeń i jednocześnie pełnią funkcję elementów dekoracyjnych. 
212;Szkło;Kinkiety;0;Kinkiety-Szkło;/kinkiety-szklane;Kinkiety szklane to uniwersalna propozycja oświetlenia, którą z powodzeniem można zastosować w dowolnym wnętrzu. Ze względu na różnorodność oferowanych form, z łatwością można je dopasować do każdej aranżacji. . Dla fanów nowoczesnego wystroju najlepszym rozwiązaniem będą szklane klosze o pofalowanym, fantazyjnym kształcie.
213;Kuchnia;Kinkiety;0;Kinkiety-Kuchnia;/kinkiety-do-kuchni;Kinkiety do kuchni charakteryzują się przemyślaną, ale prostą konstrukcją. Pomimo niewielkich rozmiarów dają dużo światła, które efektownie rozchodzi się na ścianie. Nowoczesne, minimalistyczne formy oświetlenia pełnią funkcję praktyczną, a także dekoracyjną. Kinkiety w klasycznych kolorach doskonale współgrają z każdą współczesną kuchnią.
214;Przedpokój;Kinkiety;0;Kinkiety-Przedpokój;/kinkiety-do-przedpokoju;Przedpokoje i korytarze to pomieszczenia na ogół pozbawione okien, do których dociera niewielka ilość światła dziennego. Jednocześnie są pierwszymi pomieszczeniami, które widzą wszystkie osoby wchodzące do domu, dlatego muszą być wyposażone w dobre oświetlenie. Z pomocą przychodzą kinkiety do przedpokoju.
215;Salon;Kinkiety;0;Kinkiety-Salon;/kinkiety-do-salonu;
216;Sypialnia;Kinkiety;0;Kinkiety-Sypialnia;/kinkiety-do-sypialni;
217;Do 100 zł;Kinkiety;0;Kinkiety-Do 100 zł;/kinkiety-do-100zl;Kinkiety nie muszą być drogie. Już za kilkadziesiąt złotych można nabyć efektowny kinkiet na wiele okazji. Taki kinkiet to dodatkowe źródło światła oprócz żyrandola czy plafonu. Jest niewielki, ale daje doskonałe oświetlenie i prezentuje się naprawdę pięknie. 
218;100 - 200 zl;Kinkiety;0;Kinkiety-100 - 200 zl;/kinkiety-do-200zl;
219;200 - 300 zł;Kinkiety;0;Kinkiety-200 - 300 zł;/kinkiety-do-300zl;
220;300 - 400 zł;Kinkiety;0;Kinkiety-300 - 400 zł;/pl/menu/300-400-zl-751;
221;Plafony;Baza;1;Plafony;/plafony;Plafony to lampy nowoczesne, ale przy tym szalenie eleganckie! Chcesz mieć w swoim salonie zachwycające oświetlenie? Tu znajdziesz całe mnóstwo modeli do łatwego montażu.
222;Antracyt;Plafony;0;Plafony-Antracyt;/plafony-antracytowe;
223;Biały;Plafony;0;Plafony-Biały;/plafony-biale;"Białe plafony są idealnym wyborem dla każdego, kto ceni sobie rozwiązania zarówno praktyczne jak i estetyczne. Są to lampy, które zbudowane są z żarówki oraz płaskiego klosza, zazwyczaj przymocowanego do sufitu.
Plafony są najczęściej wykorzystywane w pomieszczeniach takich jak łazienki i kuchnie, ponieważ idealnie nadają się do niewielkich wnętrz lub do pomieszczeń z niskim sufitem – zajmują mało miejsca i nie są wystające, a tym samym nie przytłaczają wnętrza. Jednocześnie są bardzo łatwe do czyszczenia, nie posiadają wielu zakrzywień czy rzeźbień."
224;Czarny;Plafony;0;Plafony-Czarny;/plafony-czarne;"Plafony czarne SOLLUX to produkty, które charakteryzuje przede wszystkim wysoka uniwersalność. Tworzą  one widowiskowe kontrasty z białymi sufitami i ścianami o jasnych kolorach. Pomieszczenie zyskuje wtedy również wyrazisty oraz indywidualny charakter.
Natomiast zestawienia z bardziej stonowanymi kolorami to gwarancja płynnych przejść emanujących dobrym gustem. Taki design jest idealny do tworzenia neutralnego tła. Takie kompozycje pozwalają wyjść na pierwszy plan wyjątkowym meblom lub wyposażeniu. Każdy plafon SOLLUX posiada nowoczesny design, dzięki czemu idealnie wpasowuje się w modernistyczne wystroje wnętrz. "
225;Chrom;Plafony;0;Plafony-Chrom;/plafony-chromowane;"Podstawą każdego pomieszczenia jest dobre oświetlenie. Zwykle moc żarówki nie wystarczy, by zapewnić nam odpowiednie warunki. Wybierając lampy sufitowe często kierujemy się także ich walorami estetycznymi. Porcelanowy żyrandol, duże, szklane klosze powoli odchodzą w niepamięć. Teraz można w minimalistyczny, ale pełen klasy sposób połączyć design z funkcjonalnością. Oświetlenie plafon to najnowszy hit wnętrzarski.
Plafony chromowane są niezwykle ozdobne, mimo, że wyróżniają się prostotą. Możemy wybrać kolor klosza, barwę żarówki. Są one łatwe do montażu, przeguby lekko pracują, dzięki czemu możemy ustawić plafon według swoich preferencji. Jednym z liderów takich lamp jest RING 3, który wyróżnia się wyglądem i wykonaniem."
226;Szary;Plafony;0;Plafony-Szary;/plafony-szare;
227;Aluminium;Plafony;0;Plafony-Aluminium;/plafony-aluminiowe;"Minimalistyczne oraz eleganckie plafony aluminiowe, nadają naszym wnętrzom wyjątkowy klimat. Gdzie najlepiej wyglądają nowoczesne plafony aluminiowe? Jakie zalety posiada takie rozwiązanie?
Za sprawą klasycznej konstrukcji oraz stonowanych barw, lampy sufitowe bardzo dobrze prezentują się w praktycznie każdym z pomieszczeń. Sypialnia, biuro, kuchnia, jadalnia czy też salon - plafony w tym wydaniu nadają każdemu wnętrzu nowoczesności i elegancji. Do posiadanej już lampy, możemy wybrać idealnie pasujący kinkiet aluminiowy. Takie zestawienie lamp będzie w stanie sprawić, iż nasza aranżacja stanie się spójna oraz dopracowana w najmniejszych detalach."
228;Beton;Plafony;0;Plafony-Beton;/plafony-betonowe;"Estetyczne oświetlenie to dodatek, który może znacząco odmienić wygląd wnętrza. W ostatnich czasach szczególną modą cieszy się styl minimalistyczny, co wiąże się z wykorzystywaniem prostych brył i surowych materiałów jak drewno czy beton. Otoczenie wystylizowane w tym designie wygląda nowocześnie i elegancko, co zachęca klientów do remontów. 
Uzupełnienie wnętrza o plafon betonowy jest nieoczywistym rozwiązaniem, które daje spektakularne efekty. Lampy te cieszą się popularnością, ponieważ są trwałe, łatwe w czyszczeniu, a przy tym wyglądają oryginalnie i modernistycznie. Oprócz walorów estetycznych, plafony uznawane są przez konsumentów za produkty doskonale oświetlające wnętrza optymalnym światłem. Są wyposażone w proste, intuicyjne systemu montażowe, dzięki czemu nie przysparzają dużych problemów majsterkowiczom. "
229;Ceramika;Plafony;0;Plafony-Ceramika;/plafony-ceramiczne;Nowoczesne plafony ceramiczne w białym kolorze od razu przyciągają uwagę. To połączenie doskonałej jakości, klasy i stylu. Oświetlenie zastosować można praktycznie w każdym wnętrzu, ciesząc się przytulnością otoczenia. Prezentujemy białe plafony, które będą służyć w domu przez wiele lat. 
230;Drewno;Plafony;0;Plafony-Drewno;/plafony-drewniane;"Plafony lampy sufitowe wykonane z naturalnego dębu o ciepły odcieniu, z widocznymi wzorami drewnianych słojów. Drewno jest jednym z najbardziej klasycznych i wytrzymałych materiałów używanych w produkcji dodatków do wystroju wnętrz.
W tej kategorii znajdą Państwo plafony drewniane w różnych formach. Proste plafony typu downlight oraz takie z pojedynczymi, podwójnymi, potrójnymi, a nawet z czteroma czy sześcioma ruchomymi kloszami. Po zamontowaniu tych lamp trudno doszukiwać się widocznych, wystających przewodów, ponieważ są one odpowiednio ukryte."
231;PVC;Plafony;0;Plafony-PVC;/plafony-pvc;"Oświetlenie odgrywa kluczową rolę w aranżacji naszych wnętrz. Co więcej, warto wybierać modele lamp, które połączą w sobie funkcjonalność w postaci dobrego, mocnego oświetlenia z nowoczesnym designem. Plafony sufitowe z PVC to produkty łączące w sobie te cechy. Przyjrzyjmy się im z bliska. 
Plafony z PVC dostępne są w wielu wariantach kolorystycznych. Do najbardziej popularnych należą modele w kolorze białym, szarym bądź czarnym. Najbardziej nowoczesne są plafony kwadratowe, Hexa oraz Sunde. Dla wnętrz o bardziej klasycznych aranżacjach warto postawić na plafony okrągłe. Niezwykle efektowne są także lampy udekorowane cekinami, które pozwalają na doskonałe wkomponowanie do stylu glamour. 
 "
232;Stal;Plafony;0;Plafony-Stal;/plafony-stalowe;Plafony stalowe to uniwersalne rozwiązanie, pasujące do różnych wnętrz oraz stylów w nich panujących. Znajdą zastosowanie zarówno w kuchni, przedpokoju jak i sypialni. Lampy dobrze sprawdzają się w każdym pomieszczeniu, bez względu na to czy zostało one urządzone w stylu nowoczesnym, czy klasycznym. Bogaty asortyment sklepu wyróżnia różnorodność rodzajów oraz możliwość wyboru kolorów spośród dostępnych plafonów. 
233;Kuchnia;Plafony;0;Plafony-Kuchnia;/plafony-do-kuchni;Plafony kuchenne są przykładem źródła oświetlenia, które cechuje się nie tylko funkcjonalnością, ale również niebanalną estetyką. Te elementy powinny zostać dobrane indywidualnie do każdego pomieszczenia, dlatego przed zakupem należy zwrócić uwagę na ich parametry.
234;Przedpokój;Plafony;0;Plafony-Przedpokój;/plafony-do-przedpokoju;"Odpowiednio dobrane oświetlenie w kuchni ma fundamentalne znaczenie pod kątem przygotowywania posiłków. W pomieszczeniu pełni również funkcję dekoracyjną, stanowiąc jeden z elementów aranżacji. Poznaj plafony do kuchni, dostępne w bogatym asortymencie naszego sklepu Sollux!
Plafon do kuchni stanowi przede wszystkim szczególnie praktyczne rozwiązanie. Jako alternatywa dla oświetlenia centralnego nie wisi bezpośrednio nad głowami domowników. Bezpieczne umiejscowienie plafonu niweluje ryzyko uderzenia się głową w trakcie gotowania."
