id;name;description;price;shipping;enabled;quantity;source_url;category_ids
501;temp prod name with ID: 501;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-nero-czarny-zloty-1693;201,211,213,214,215,216,218,286,287
502;temp prod name with ID: 502;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-nero-czarny-chrom-1692;201,211,213,214,215,216,218,286,287
503;temp prod name with ID: 503;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-duomo-683;201,204,211,215,216,217,286
504;temp prod name with ID: 504;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-massimo-chrom-595;201,205,214,215,219,286
505;temp prod name with ID: 505;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-emilio-593;201,214,215,218,286
506;temp prod name with ID: 506;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-samir-bialy-538;201,203,209,214,215,216,217,286
507;temp prod name with ID: 507;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-oskar-bialy-537;201,203,209,214,215,216,217,286
508;temp prod name with ID: 508;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-globe-bialy-535;201,203,209,214,215,216,217,286,288
509;temp prod name with ID: 509;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-helios-534;201,203,209,214,215,216,218,286
510;temp prod name with ID: 510;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;399,99;dhl,inpost;1;1200;https://sollux.pl/pl/products/kinkiet-ceramiczny-vega-line-bialy-530;201,203,209,214,215,216,217,286,288
